date,stock_id,buy,name,sell
2025-01-02,3663,109036,Dealer_Hedging,28986
2025-01-02,3663,0,Dealer_self,0
2025-01-02,3663,0,Foreign_Dealer_Self,0
2025-01-02,3663,969000,Foreign_Investor,1035000
2025-01-02,3663,0,Investment_Trust,0
2025-01-03,3663,6651,Dealer_Hedging,72514
2025-01-03,3663,0,Dealer_self,0
2025-01-03,3663,0,Foreign_Dealer_Self,0
2025-01-03,3663,459000,Foreign_Investor,728000
2025-01-03,3663,0,Investment_Trust,0
2025-01-06,3663,4696,Dealer_Hedging,2495
2025-01-06,3663,0,Dealer_self,0
2025-01-06,3663,0,Foreign_Dealer_Self,0
2025-01-06,3663,203000,Foreign_Investor,218000
2025-01-06,3663,0,Investment_Trust,0
2025-01-07,3663,1080,Dealer_Hedging,4802
2025-01-07,3663,0,Dealer_self,0
2025-01-07,3663,0,Foreign_Dealer_Self,0
2025-01-07,3663,145000,Foreign_Investor,156000
2025-01-07,3663,0,Investment_Trust,0
2025-01-08,3663,0,Dealer_Hedging,3238
2025-01-08,3663,0,Dealer_self,0
2025-01-08,3663,0,Foreign_Dealer_Self,0
2025-01-08,3663,60000,Foreign_Investor,67000
2025-01-08,3663,0,Investment_Trust,0
2025-01-09,3663,4000,Dealer_Hedging,17818
2025-01-09,3663,0,Dealer_self,0
2025-01-09,3663,0,Foreign_Dealer_Self,0
2025-01-09,3663,55000,Foreign_Investor,179000
2025-01-09,3663,0,Investment_Trust,0
2025-01-10,3663,2000,Dealer_Hedging,9868
2025-01-10,3663,0,Dealer_self,0
2025-01-10,3663,0,Foreign_Dealer_Self,0
2025-01-10,3663,229000,Foreign_Investor,367000
2025-01-10,3663,0,Investment_Trust,0
2025-01-13,3663,1,Dealer_Hedging,9971
2025-01-13,3663,0,Dealer_self,0
2025-01-13,3663,0,Foreign_Dealer_Self,0
2025-01-13,3663,1057000,Foreign_Investor,198000
2025-01-13,3663,0,Investment_Trust,0
2025-01-14,3663,0,Dealer_Hedging,1000
2025-01-14,3663,0,Dealer_self,0
2025-01-14,3663,0,Foreign_Dealer_Self,0
2025-01-14,3663,317000,Foreign_Investor,191000
2025-01-14,3663,0,Investment_Trust,0
2025-01-15,3663,1054,Dealer_Hedging,1220
2025-01-15,3663,0,Dealer_self,0
2025-01-15,3663,0,Foreign_Dealer_Self,0
2025-01-15,3663,194000,Foreign_Investor,140000
2025-01-15,3663,0,Investment_Trust,0
2025-01-16,3663,56,Dealer_Hedging,1000
2025-01-16,3663,0,Dealer_self,0
2025-01-16,3663,0,Foreign_Dealer_Self,0
2025-01-16,3663,364000,Foreign_Investor,59000
2025-01-16,3663,0,Investment_Trust,0
2025-01-17,3663,1000,Dealer_Hedging,4273
2025-01-17,3663,0,Dealer_self,0
2025-01-17,3663,0,Foreign_Dealer_Self,0
2025-01-17,3663,131000,Foreign_Investor,155000
2025-01-17,3663,0,Investment_Trust,0
2025-01-20,3663,279,Dealer_Hedging,905
2025-01-20,3663,0,Dealer_self,0
2025-01-20,3663,0,Foreign_Dealer_Self,0
2025-01-20,3663,278000,Foreign_Investor,115000
2025-01-20,3663,0,Investment_Trust,0
2025-01-21,3663,0,Dealer_Hedging,1000
2025-01-21,3663,0,Dealer_self,0
2025-01-21,3663,0,Foreign_Dealer_Self,0
2025-01-21,3663,70000,Foreign_Investor,95000
2025-01-21,3663,0,Investment_Trust,0
2025-01-22,3663,0,Dealer_Hedging,0
2025-01-22,3663,0,Dealer_self,0
2025-01-22,3663,0,Foreign_Dealer_Self,0
2025-01-22,3663,110000,Foreign_Investor,90000
2025-01-22,3663,0,Investment_Trust,0
2025-02-03,3663,2090,Dealer_Hedging,8145
2025-02-03,3663,0,Dealer_self,0
2025-02-03,3663,0,Foreign_Dealer_Self,0
2025-02-03,3663,296000,Foreign_Investor,224000
2025-02-03,3663,0,Investment_Trust,0
2025-02-04,3663,1028,Dealer_Hedging,1142
2025-02-04,3663,0,Dealer_self,0
2025-02-04,3663,0,Foreign_Dealer_Self,0
2025-02-04,3663,312000,Foreign_Investor,158000
2025-02-04,3663,0,Investment_Trust,0
2025-02-05,3663,6143,Dealer_Hedging,3000
2025-02-05,3663,0,Dealer_self,0
2025-02-05,3663,0,Foreign_Dealer_Self,0
2025-02-05,3663,186000,Foreign_Investor,76000
2025-02-05,3663,0,Investment_Trust,0
2025-02-06,3663,472,Dealer_Hedging,54
2025-02-06,3663,0,Dealer_self,0
2025-02-06,3663,0,Foreign_Dealer_Self,0
2025-02-06,3663,149000,Foreign_Investor,75000
2025-02-06,3663,0,Investment_Trust,0
2025-02-07,3663,0,Dealer_Hedging,0
2025-02-07,3663,0,Dealer_self,0
2025-02-07,3663,0,Foreign_Dealer_Self,0
2025-02-07,3663,155000,Foreign_Investor,71000
2025-02-07,3663,0,Investment_Trust,0
2025-02-10,3663,0,Dealer_Hedging,947
2025-02-10,3663,0,Dealer_self,0
2025-02-10,3663,0,Foreign_Dealer_Self,0
2025-02-10,3663,78000,Foreign_Investor,141000
2025-02-10,3663,0,Investment_Trust,0
2025-02-11,3663,0,Dealer_Hedging,835
2025-02-11,3663,0,Dealer_self,0
2025-02-11,3663,0,Foreign_Dealer_Self,0
2025-02-11,3663,150000,Foreign_Investor,128000
2025-02-11,3663,0,Investment_Trust,0
2025-02-12,3663,0,Dealer_Hedging,57
2025-02-12,3663,0,Dealer_self,0
2025-02-12,3663,0,Foreign_Dealer_Self,0
2025-02-12,3663,148000,Foreign_Investor,91000
2025-02-12,3663,0,Investment_Trust,0
2025-02-13,3663,4009,Dealer_Hedging,1163
2025-02-13,3663,0,Dealer_self,0
2025-02-13,3663,0,Foreign_Dealer_Self,0
2025-02-13,3663,665000,Foreign_Investor,608000
2025-02-13,3663,0,Investment_Trust,0
2025-02-14,3663,11616,Dealer_Hedging,2026
2025-02-14,3663,0,Dealer_self,0
2025-02-14,3663,0,Foreign_Dealer_Self,0
2025-02-14,3663,220000,Foreign_Investor,508000
2025-02-14,3663,0,Investment_Trust,0
2025-02-17,3663,5057,Dealer_Hedging,1435
2025-02-17,3663,0,Dealer_self,0
2025-02-17,3663,0,Foreign_Dealer_Self,0
2025-02-17,3663,118000,Foreign_Investor,119000
2025-02-17,3663,0,Investment_Trust,0
2025-02-18,3663,1,Dealer_Hedging,1346
2025-02-18,3663,0,Dealer_self,0
2025-02-18,3663,0,Foreign_Dealer_Self,0
2025-02-18,3663,300000,Foreign_Investor,178000
2025-02-18,3663,0,Investment_Trust,0
2025-02-19,3663,4000,Dealer_Hedging,0
2025-02-19,3663,0,Dealer_self,0
2025-02-19,3663,0,Foreign_Dealer_Self,0
2025-02-19,3663,413000,Foreign_Investor,340000
2025-02-19,3663,0,Investment_Trust,0
2025-02-20,3663,57660,Dealer_Hedging,29585
2025-02-20,3663,0,Dealer_self,0
2025-02-20,3663,0,Foreign_Dealer_Self,0
