date,stock_id,buy,name,sell
2025-01-02,4949,0,Dealer_Hedging,0
2025-01-02,4949,0,Dealer_self,0
2025-01-02,4949,0,Foreign_Dealer_Self,0
2025-01-02,4949,0,Foreign_Investor,7000
2025-01-02,4949,0,Investment_Trust,0
2025-01-03,4949,0,Dealer_Hedging,0
2025-01-03,4949,0,Dealer_self,0
2025-01-03,4949,0,Foreign_Dealer_Self,0
2025-01-03,4949,0,Foreign_Investor,20000
2025-01-03,4949,0,Investment_Trust,0
2025-01-06,4949,0,Dealer_Hedging,0
2025-01-06,4949,3000,Dealer_self,0
2025-01-06,4949,0,Foreign_Dealer_Self,0
2025-01-06,4949,2000,Foreign_Investor,8000
2025-01-06,4949,0,Investment_Trust,0
2025-01-07,4949,0,Dealer_Hedging,0
2025-01-07,4949,3000,Dealer_self,0
2025-01-07,4949,0,Foreign_Dealer_Self,0
2025-01-07,4949,11000,Foreign_Investor,9000
2025-01-07,4949,0,Investment_Trust,0
2025-01-08,4949,0,Dealer_Hedging,0
2025-01-08,4949,0,Dealer_self,0
2025-01-08,4949,0,Foreign_Dealer_Self,0
2025-01-08,4949,4000,Foreign_Investor,10000
2025-01-08,4949,0,Investment_Trust,0
2025-01-09,4949,0,Dealer_Hedging,0
2025-01-09,4949,4000,Dealer_self,3000
2025-01-09,4949,0,Foreign_Dealer_Self,0
2025-01-09,4949,3000,Foreign_Investor,28000
2025-01-09,4949,0,Investment_Trust,0
2025-01-10,4949,0,Dealer_Hedging,0
2025-01-10,4949,0,Dealer_self,0
2025-01-10,4949,0,Foreign_Dealer_Self,0
2025-01-10,4949,0,Foreign_Investor,10000
2025-01-10,4949,0,Investment_Trust,0
2025-01-13,4949,0,Dealer_Hedging,0
2025-01-13,4949,3000,Dealer_self,1000
2025-01-13,4949,0,Foreign_Dealer_Self,0
2025-01-13,4949,11000,Foreign_Investor,37000
2025-01-13,4949,0,Investment_Trust,0
2025-01-14,4949,0,Dealer_Hedging,0
2025-01-14,4949,2000,Dealer_self,6000
2025-01-14,4949,0,Foreign_Dealer_Self,0
2025-01-14,4949,37000,Foreign_Investor,23000
2025-01-14,4949,0,Investment_Trust,0
2025-01-15,4949,0,Dealer_Hedging,0
2025-01-15,4949,1000,Dealer_self,1000
2025-01-15,4949,0,Foreign_Dealer_Self,0
2025-01-15,4949,0,Foreign_Investor,19000
2025-01-15,4949,0,Investment_Trust,0
