date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2016-01-04,4741,61100,4906500,80.19,81.01,79.61,80.0,0.11,37
2016-01-05,4741,39000,3121490,80.3,80.8,78.5,80.0,-0.26,24
2016-01-06,4741,66173,5296676,80.04,83.3,78.0,83.3,0.0,52
2016-01-07,4741,120778,9784966,80.04,83.29,79.01,81.0,0.98,73
2016-01-08,4741,61101,4975396,81.02,82.0,80.99,82.0,0.41,37
2016-01-11,4741,296613,25540558,81.43,88.5,81.9,86.31,4.68,169
2016-01-12,4741,115582,9613065,86.11,86.6,81.0,81.21,-2.94,68
2016-01-13,4741,107599,8817496,83.17,83.8,81.0,81.6,-1.22,53
2016-01-14,4741,33952,2760217,81.95,82.5,79.95,82.0,-0.65,30
2016-01-15,4741,34901,2848546,81.3,82.5,81.0,81.0,0.32,22
2016-01-18,4741,7051,570343,81.62,81.49,78.66,81.0,-0.73,8
2016-01-19,4741,42601,3407118,80.89,80.8,78.01,80.5,-0.91,23
2016-01-20,4741,44552,3582418,79.98,81.0,80.0,80.0,0.43,26
2016-01-21,4741,23000,1816160,80.41,79.01,78.71,79.0,-1.45,13
2016-01-22,4741,7000,554730,78.96,79.51,78.71,79.51,0.29,5
2016-01-25,4741,60650,4885405,79.25,81.99,79.51,81.9,1.3,41
2016-01-26,4741,68064,5555179,80.55,82.76,80.3,80.65,1.07,49
2016-01-27,4741,24800,2011329,81.62,81.52,80.75,81.2,-0.52,18
2016-01-28,4741,35200,2837250,81.1,80.91,80.11,80.6,-0.5,27
2016-01-29,4741,25600,2075680,80.6,81.5,80.59,80.91,0.48,19
2016-01-30,4741,23600,1906312,81.08,81.3,80.0,81.29,-0.3,17
2016-02-01,4741,9005,730997,80.78,81.48,81.0,81.48,0.4,6
2016-02-02,4741,32752,2679947,81.18,82.83,81.01,81.82,0.65,23
2016-02-03,4741,32080,2603830,81.83,81.8,80.8,81.59,-0.66,23
2016-02-15,4741,38200,3107400,81.17,82.0,81.0,81.3,0.18,18
2016-02-16,4741,94135,7433178,81.35,81.0,77.9,79.0,-2.39,60
2016-02-17,4741,21115,1667295,78.96,79.5,78.5,79.0,0.0,14
2016-02-18,4741,52010,4072110,78.96,79.05,77.74,78.95,-0.67,40
2016-02-19,4741,45403,3568486,78.29,80.72,78.0,79.1,0.31,27
2016-02-22,4741,21001,1639828,78.6,78.69,77.91,78.0,-0.52,12
2016-02-23,4741,19201,1498047,78.08,78.99,77.75,77.75,-0.06,13
