date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2016-01-04,9919,410126.0,4837176.0,12.0,12.0,11.7,11.7,-0.2,155.0
2016-01-05,9919,227011.0,2642832.0,11.7,11.75,11.55,11.6,-0.1,101.0
2016-01-06,9919,339001.0,3899662.0,11.6,11.65,11.35,11.6,0.0,123.0
2016-01-07,9919,242108.0,2730643.0,11.5,11.5,11.15,11.2,-0.4,126.0
2016-01-08,9919,200040.0,2231245.0,11.05,11.3,11.0,11.2,0.0,120.0
2016-01-11,9919,179050.0,1998855.0,11.2,11.2,11.05,11.2,0.0,83.0
2016-01-12,9919,397119.0,4544310.0,11.3,11.65,11.25,11.25,0.05,197.0
2016-01-13,9919,210010.0,2408170.0,11.4,11.55,11.3,11.4,0.15,102.0
2016-01-14,9919,247000.0,2769750.0,11.3,11.3,11.1,11.15,-0.25,114.0
2016-01-15,9919,136500.0,1527178.0,11.2,11.3,11.15,11.2,0.05,106.0
2016-01-18,9919,346500.0,3896321.0,11.05,11.35,11.05,11.25,0.05,103.0
2016-01-19,9919,139116.0,1575464.0,11.3,11.4,11.2,11.35,0.1,75.0
2016-01-20,9919,462023.0,5330863.0,11.4,11.7,11.4,11.55,0.2,216.0
2016-01-21,9919,251003.0,2875386.0,11.5,11.6,11.35,11.4,-0.15,108.0
2016-01-22,9919,170419.0,1939251.0,11.35,11.45,11.35,11.35,-0.05,71.0
2016-01-25,9919,269020.0,3065226.0,11.5,11.55,11.3,11.35,0.0,104.0
2016-01-26,9919,51010.0,577660.0,11.3,11.35,11.3,11.35,0.0,38.0
2016-01-27,9919,96285.0,1092166.0,11.45,11.5,11.25,11.25,-0.1,65.0
2016-01-28,9919,60012.0,678384.0,11.2,11.4,11.15,11.35,0.1,45.0
2016-01-29,9919,403033.0,4647958.0,11.35,11.65,11.35,11.5,0.15,178.0
2016-01-30,9919,197007.0,2264977.0,11.55,11.6,11.45,11.5,0.0,90.0
2016-02-01,9919,131012.0,1506782.0,11.55,11.55,11.45,11.45,-0.05,80.0
2016-02-02,9919,238167.0,2756069.0,11.5,11.65,11.45,11.55,0.1,82.0
2016-02-03,9919,1560646.0,18562583.0,11.65,12.05,11.65,11.8,0.25,705.0
2016-02-15,9919,400026.0,4689740.0,11.8,11.95,11.65,11.7,-0.1,230.0
2016-02-16,9919,326532.0,3841408.0,11.8,11.85,11.7,11.75,0.05,152.0
2016-02-17,9919,411591.0,4859770.0,11.8,11.9,11.7,11.7,-0.05,166.0
2016-02-18,9919,349320.0,4102599.0,11.85,11.85,11.65,11.65,-0.05,151.0
2016-02-19,9919,285704.0,3346202.0,11.65,11.75,11.65,11.65,0.0,137.0
2016-02-22,9919,401040.0,4739380.0,11.7,11.9,11.7,11.85,0.2,143.0
2016-02-23,9919,226008.0,2671288.0,11.9,11.9,11.75,11.75,-0.1,104.0
2016-02-24,9919,429175.0,5109391.0,11.9,11.95,11.85,11.9,0.15,230.0
2016-02-25,9919,620307.0,7496124.0,12.0,12.25,11.95,11.95,0.05,298.0
2016-02-26,9919,347018.0,4154216.0,11.95,12.15,11.8,11.95,0.0,167.0
2016-03-01,9919,270025.0,3251850.0,11.95,12.1,11.95,12.0,0.05,142.0
2016-03-02,9919,314090.0,3764630.0,12.0,12.1,11.9,11.95,-0.05,183.0
2016-03-03,9919,396187.0,4743806.0,12.0,12.05,11.9,12.0,0.05,179.0
2016-03-04,9919,508514.0,6147040.0,12.05,12.1,12.05,12.05,0.05,218.0
