date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2016-01-04,4163,171100,21129500,125.5,125.5,122.0,123.0,-1.5,138
2016-01-05,4163,330100,41300700,123.0,127.0,122.0,125.0,2.0,233
2016-01-06,4163,232100,29204000,126.5,127.5,123.5,123.5,-1.5,188
2016-01-07,4163,409251,48384120,123.5,126.0,111.5,118.0,-5.5,356
2016-01-08,4163,186371,22267859,116.0,121.0,116.0,119.5,1.5,168
2016-01-11,4163,114280,13335460,118.0,119.0,114.0,115.5,-4.0,112
2016-01-12,4163,244600,27993800,116.0,118.5,112.0,113.0,-2.5,208
2016-01-13,4163,117400,13416900,114.5,115.0,113.0,114.0,1.0,108
2016-01-14,4163,159375,17776187,111.0,113.5,110.0,112.0,-2.0,152
2016-01-15,4163,293125,33829875,114.0,116.5,114.0,115.5,3.5,258
2016-01-18,4163,275203,32373961,114.0,119.5,114.0,119.5,4.0,254
2016-01-19,4163,176200,21176700,118.0,122.0,118.0,120.0,0.5,164
2016-01-20,4163,239460,27833670,119.0,120.5,113.5,113.5,-6.5,198
2016-01-21,4163,109200,12599600,116.0,116.5,114.5,114.5,1.0,106
2016-01-22,4163,134450,15651700,116.5,117.0,115.5,117.0,2.5,131
2016-01-25,4163,153030,18311570,118.5,121.0,118.0,120.0,3.0,145
2016-01-26,4163,99000,11694000,119.0,119.0,117.5,117.5,-2.5,80
2016-01-27,4163,321050,39204000,119.0,124.5,119.0,120.0,2.5,288
2016-01-28,4163,157000,18789500,119.5,121.5,118.5,119.0,-1.0,138
2016-01-29,4163,143050,17270000,119.5,121.5,119.5,121.0,2.0,127
2016-01-30,4163,196000,24104000,121.5,124.0,121.5,122.5,1.5,162
2016-02-01,4163,112320,13807360,123.0,124.5,122.0,122.0,-0.5,100
2016-02-02,4163,100100,12196200,122.0,122.5,121.0,122.0,0.0,89
2016-02-03,4163,117260,14196350,120.5,122.0,120.5,121.5,-0.5,105
2016-02-15,4163,110419,13482456,120.0,123.5,120.0,123.0,1.5,104
2016-02-16,4163,134212,16570076,123.5,124.5,122.5,123.0,0.0,113
2016-02-17,4163,90350,11188050,123.0,124.5,123.0,124.0,1.0,86
2016-02-18,4163,300240,37936200,125.0,127.5,125.0,126.5,2.5,272
2016-02-19,4163,220200,27679700,127.0,128.0,124.0,124.5,-2.0,169
2016-02-22,4163,251153,30823547,122.0,124.5,121.0,124.5,0.0,211
2016-02-23,4163,134297,16830125,126.5,126.5,124.5,125.0,0.5,113
2016-02-24,4163,523030,67725080,127.5,132.0,127.5,129.0,4.0,457
2016-02-25,4163,706405,94505675,130.0,137.0,129.5,133.5,4.5,586
2016-02-26,4163,253562,33641184,134.0,136.0,131.0,132.0,-1.5,222
2016-03-01,4163,168120,22201940,133.0,133.0,131.0,133.0,1.0,135
2016-03-02,4163,262120,34532680,134.0,134.0,130.0,130.0,-3.0,178
2016-03-03,4163,144200,18862000,130.0,132.0,130.0,130.5,0.5,120
2016-03-04,4163,98153,12822543,132.0,132.0,130.0,130.0,-0.5,88
2016-03-07,4163,125042,16099918,130.5,130.5,127.5,127.5,-2.5,114
2016-03-08,4163,141628,18391408,129.0,130.5,129.0,129.5,2.0,129
2016-03-09,4163,70500,9146250,129.0,131.0,129.0,130.0,0.5,59
2016-03-10,4163,149100,19614450,130.5,133.0,129.5,132.0,2.0,119
2016-03-11,4163,129000,17002000,131.5,133.0,130.5,132.0,0.0,111
2016-03-14,4163,574020,77897820,132.0,140.0,131.0,139.0,7.0,461
2016-03-15,4163,1089230,154583394,144.0,146.5,134.0,134.5,-4.5,795
2016-03-16,4163,2549502,370080535,141.0,147.5,138.0,145.0,10.5,1802
2016-03-17,4163,1954145,289353170,146.0,151.0,145.0,145.5,0.5,1413
2016-03-18,4163,1129473,168397842,149.0,151.0,147.5,151.0,5.5,792
2016-03-21,4163,1272319,196177902,153.0,159.5,150.0,158.5,7.5,1067
2016-03-22,4163,912358,140677132,158.5,158.5,151.5,152.5,-6.0,738
2016-03-23,4163,1273718,198843226,151.5,159.5,151.0,158.0,5.5,1036
2016-03-24,4163,2377080,395935360,160.5,170.0,160.0,168.0,10.0,1874
2016-03-25,4163,1261543,212194819,167.5,172.5,164.5,165.0,-3.0,936
2016-03-28,4163,731548,121786872,169.5,169.5,163.0,164.5,-0.5,632
2016-03-29,4163,1300022,202081366,165.5,165.5,151.0,152.5,-12.0,996
2016-03-30,4163,1255947,205611121,159.5,167.5,157.0,167.5,15.0,998
2016-03-31,4163,2417646,415372059,170.0,177.5,163.0,166.5,-1.0,2011
2016-04-01,4163,1004773,166714453,169.5,170.0,160.5,162.0,-4.5,793
2016-04-06,4163,839130,131362540,158.5,161.0,154.5,156.5,-5.5,611
2016-04-07,4163,2639551,447312721,158.0,172.0,158.0,172.0,15.5,1772
2016-04-08,4163,2513147,440842372,173.5,181.5,167.0,176.0,4.0,2113
