date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2016-01-04,3686,4113020,44750050,11.0,11.15,10.75,10.75,-0.25,1412
2016-01-05,3686,6481881,69683221,10.85,10.95,10.55,10.55,-0.2,2097
2016-01-06,3686,6939547,72164049,10.7,10.8,10.1,10.15,-0.4,2449
2016-01-07,3686,10785504,104591462,10.2,10.3,9.16,9.6,-0.55,3164
2016-01-08,3686,11552581,117527918,9.59,10.55,9.42,10.55,0.95,3618
2016-01-11,3686,6275089,64392796,10.45,10.5,10.05,10.15,-0.4,1990
2016-01-12,3686,7130296,70687187,10.25,10.4,9.45,9.52,-0.63,2488
2016-01-13,3686,6590113,63622185,9.85,9.86,9.23,9.7,0.18,2168
2016-01-14,3686,9406130,92478019,9.4,10.2,9.32,9.81,0.11,3274
2016-01-15,3686,5537338,54679956,10.05,10.15,9.65,9.65,-0.16,1783
2016-01-18,3686,11428670,115717883,9.57,10.5,9.51,10.4,0.75,3477
2016-01-19,3686,4176003,42861680,10.4,10.45,10.1,10.3,-0.1,1549
2016-01-20,3686,5812280,59021588,10.25,10.5,9.91,9.91,-0.39,1965
2016-01-21,3686,6006002,59127598,10.1,10.1,9.7,9.72,-0.19,2188
2016-01-22,3686,3471072,34094429,9.97,9.98,9.72,9.79,0.07,1219
2016-01-25,3686,3047207,30168031,9.91,10.05,9.82,9.86,0.07,1080
2016-01-26,3686,2612366,25635535,9.95,9.95,9.7,9.74,-0.12,903
2016-01-27,3686,2373107,23038296,9.85,9.9,9.55,9.55,-0.19,975
2016-01-28,3686,2080012,19965489,9.69,9.69,9.54,9.56,0.01,904
2016-01-29,3686,3392096,32535776,9.58,9.7,9.5,9.57,0.01,1163
2016-01-30,3686,3788703,37349095,9.65,9.99,9.65,9.82,0.25,1398
2016-02-01,3686,2403072,23395624,9.9,9.9,9.6,9.63,-0.19,987
2016-02-02,3686,6152061,60770858,9.88,10.05,9.74,9.75,0.12,2061
2016-02-03,3686,5262509,52153794,10.05,10.05,9.81,9.84,0.09,1567
2016-02-15,3686,2113069,20905963,9.8,9.98,9.8,9.86,0.02,821
2016-02-16,3686,11490521,118081167,9.98,10.45,9.95,10.4,0.54,3115
2016-02-17,3686,19397725,211578980,10.6,11.15,10.6,10.95,0.55,5194
2016-02-18,3686,10119706,110749172,11.15,11.25,10.8,10.85,-0.1,2983
2016-02-19,3686,10288144,113453334,10.9,11.2,10.8,10.95,0.1,3009
2016-02-22,3686,8696036,95232427,11.05,11.3,10.6,10.8,-0.15,2532
2016-02-23,3686,5186827,56294172,10.9,11.1,10.75,10.8,0.0,1600
2016-02-24,3686,7399014,77675154,10.8,10.85,10.25,10.3,-0.5,2210
2016-02-25,3686,6968084,70645612,10.2,10.4,10.0,10.0,-0.3,2217
2016-02-26,3686,4776992,48121952,10.05,10.2,9.92,10.2,0.2,1408
2016-03-01,3686,3356524,34124414,10.05,10.3,10.05,10.25,0.05,946
2016-03-02,3686,6311025,66266100,10.55,10.7,10.35,10.35,0.1,1834
2016-03-03,3686,3761492,38481037,10.45,10.45,10.1,10.15,-0.2,1282
2016-03-04,3686,7699927,80533377,10.3,10.6,10.25,10.55,0.4,2244
2016-03-07,3686,4720112,49146170,10.65,10.7,10.25,10.35,-0.2,1352
2016-03-08,3686,5187036,54364878,10.35,10.6,10.35,10.45,0.1,1537
2016-03-09,3686,3990120,40822772,10.45,10.45,10.1,10.15,-0.3,1260
2016-03-10,3686,5743912,59202826,10.2,10.45,10.15,10.2,0.05,1446
2016-03-11,3686,5249288,53907360,10.25,10.4,10.1,10.3,0.1,1467
2016-03-14,3686,4560875,47139140,10.35,10.5,10.15,10.35,0.05,1383
2016-03-15,3686,6678576,67104984,10.35,10.45,9.86,9.86,-0.49,1939
2016-03-16,3686,2824159,28281251,9.92,10.1,9.92,10.0,0.14,930
2016-03-17,3686,2990521,29888180,10.1,10.2,9.9,9.91,-0.09,1165
2016-03-18,3686,4040212,39532709,9.95,9.98,9.68,9.7,-0.21,1477
2016-03-21,3686,2680818,26328444,9.74,9.97,9.7,9.82,0.12,1169
2016-03-22,3686,2240132,22106493,9.86,9.96,9.75,9.82,0.0,934
2016-03-23,3686,1877508,18526107,9.86,9.95,9.8,9.8,-0.02,846
2016-03-24,3686,1953092,18938889,9.8,9.81,9.66,9.66,-0.14,684
2016-03-25,3686,2948476,28036372,9.72,9.75,9.36,9.43,-0.23,1133
2016-03-28,3686,4575075,41051545,9.45,9.49,8.7,8.84,-0.59,1475
2016-03-29,3686,2387299,21325369,8.85,9.12,8.8,8.87,0.03,969
2016-03-30,3686,1527460,13626676,9.03,9.03,8.87,8.89,0.02,691
2016-03-31,3686,2398178,21078204,8.95,8.99,8.7,8.75,-0.14,791
2016-04-01,3686,3336228,28707353,8.75,8.75,8.5,8.57,-0.18,1092
2016-04-06,3686,2532072,21481061,8.59,8.64,8.37,8.37,-0.2,911
2016-04-07,3686,2425039,20458867,8.42,8.5,8.37,8.42,0.05,853
2016-04-08,3686,2845315,24366768,8.4,8.69,8.37,8.64,0.22,995
2016-04-11,3686,1391267,11976318,8.48,8.72,8.48,8.57,-0.07,547
2016-04-12,3686,2541267,21560059,8.59,8.67,8.36,8.37,-0.2,844
2016-04-13,3686,4676924,40642577,8.45,8.99,8.41,8.91,0.54,1587
2016-04-14,3686,3119256,27545416,9.0,9.04,8.68,8.68,-0.23,972
2016-04-15,3686,2035307,17329089,8.68,8.7,8.43,8.46,-0.22,783
2016-04-18,3686,1341469,11376603,8.46,8.52,8.4,8.46,0.0,488
2016-04-19,3686,2041133,17624511,8.76,8.88,8.52,8.53,0.07,808
2016-04-20,3686,2235024,18865411,8.53,8.65,8.37,8.37,-0.16,854
2016-04-21,3686,1748388,14550384,8.44,8.48,8.21,8.22,-0.15,668
2016-04-22,3686,5248699,41297828,8.23,8.23,7.62,7.78,-0.44,1728
2016-04-25,3686,4056252,31028397,7.63,7.83,7.52,7.68,-0.1,1273
2016-04-26,3686,4566164,36301489,7.8,8.09,7.8,8.08,0.4,1458
2016-04-27,3686,2024280,16089655,8.05,8.08,7.89,7.89,-0.19,645
2016-04-28,3686,1698111,13177500,7.89,7.92,7.69,7.69,-0.2,612
2016-04-29,3686,1944012,15119341,7.65,7.88,7.58,7.78,0.09,766
2016-05-03,3686,1884334,14846773,7.81,7.94,7.81,7.86,0.08,716
2016-05-04,3686,1247272,9706889,7.88,7.91,7.68,7.7,-0.16,441
2016-05-05,3686,1709044,13223747,7.68,7.88,7.59,7.86,0.16,664
2016-05-06,3686,650000,5051440,7.78,7.86,7.73,7.75,-0.11,260
2016-05-09,3686,1730720,13676109,7.91,7.99,7.78,7.79,0.04,605
2016-05-10,3686,600629,4678570,7.82,7.88,7.73,7.78,-0.01,283
2016-05-11,3686,856387,6666673,7.87,7.88,7.7,7.79,0.01,355
2016-05-12,3686,1596336,12187052,7.74,7.8,7.44,7.5,-0.29,506
2016-05-13,3686,3583700,25475024,7.42,7.48,6.9,7.0,-0.5,1165
2016-05-16,3686,2211124,15671271,6.96,7.27,6.8,7.2,0.2,799
2016-05-17,3686,3445634,25935050,7.2,7.78,7.19,7.71,0.51,1332
2016-05-18,3686,1947416,14953504,7.66,7.83,7.59,7.69,-0.02,697
2016-05-19,3686,1997500,15455610,7.8,7.84,7.62,7.71,0.02,696
2016-05-20,3686,1475352,11420411,7.81,7.83,7.65,7.69,-0.02,546
2016-05-23,3686,2961704,23323773,7.71,8.0,7.71,7.9,0.21,970
2016-05-24,3686,4934715,40500940,7.98,8.49,7.9,8.31,0.41,1807
2016-05-25,3686,3817473,31863977,8.48,8.49,8.23,8.31,0.0,1331
2016-05-26,3686,7419099,64506432,8.48,8.85,8.46,8.7,0.39,2467
2016-05-27,3686,2529204,21756582,8.63,8.7,8.53,8.63,-0.07,871
2016-05-30,3686,1994096,17279271,8.63,8.74,8.6,8.66,0.03,666
2016-05-31,3686,3184400,28113830,8.81,8.98,8.73,8.75,0.09,1178
2016-06-01,3686,2425433,21096962,8.75,8.79,8.62,8.66,-0.09,725
2016-06-02,3686,3460227,29565013,8.7,8.75,8.35,8.35,-0.31,1248
2016-06-03,3686,1923120,16226080,8.38,8.54,8.35,8.43,0.08,731
2016-06-04,3686,966156,8215066,8.5,8.56,8.44,8.53,0.1,359
2016-06-06,3686,2781073,23146078,8.35,8.44,8.22,8.28,-0.25,774
2016-06-07,3686,1630036,13765509,8.47,8.5,8.38,8.4,0.12,618
2016-06-08,3686,1269258,10590825,8.46,8.46,8.3,8.3,-0.1,488
2016-06-13,3686,1839012,14809876,8.23,8.23,8.0,8.02,-0.28,649
2016-06-14,3686,1931156,15914357,8.1,8.32,8.1,8.2,0.18,716
2016-06-15,3686,1365049,11293351,8.36,8.36,8.15,8.26,0.06,554
2016-06-16,3686,1216008,9944544,8.29,8.29,8.11,8.13,-0.13,513
2016-06-17,3686,771120,6320640,8.25,8.25,8.15,8.16,0.03,271
2016-06-20,3686,1005513,8333117,8.28,8.32,8.24,8.28,0.12,432
2016-06-21,3686,1133132,9442908,8.31,8.4,8.28,8.3,0.02,437
2016-06-22,3686,2594631,21997172,8.31,8.55,8.31,8.48,0.18,966
