date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2016-01-04,9911,381517,6850331,18.3,18.3,17.85,17.9,-0.4,188
2016-01-05,9911,215911,3873861,17.9,18.0,17.8,17.9,0.0,120
2016-01-06,9911,175861,3145202,18.0,18.0,17.8,17.95,0.05,100
2016-01-07,9911,418124,7381234,17.95,17.95,17.55,17.65,-0.3,209
2016-01-08,9911,2087695,38190968,17.85,18.6,17.85,18.6,0.95,704
2016-01-11,9911,3344758,62743692,18.65,19.05,18.45,18.8,0.2,1330
2016-01-12,9911,1021848,18911194,18.6,18.75,18.15,18.2,-0.6,494
2016-01-13,9911,388397,7074990,18.4,18.4,18.1,18.25,0.05,239
2016-01-14,9911,605651,10741551,18.2,18.2,17.4,17.7,-0.55,375
2016-01-15,9911,309731,5508765,17.8,17.95,17.7,17.7,0.0,217
2016-01-18,9911,466700,8150394,17.35,17.75,17.0,17.75,0.05,220
2016-01-19,9911,198382,3501310,17.8,17.8,17.45,17.8,0.05,134
2016-01-20,9911,351183,6186936,17.9,17.9,17.5,17.6,-0.2,226
2016-01-21,9911,383264,6776819,17.6,17.85,17.55,17.55,-0.05,154
2016-01-22,9911,287483,5079095,17.65,17.8,17.55,17.65,0.1,171
2016-01-25,9911,595357,10644982,17.85,18.2,17.7,17.85,0.2,266
2016-01-26,9911,121374,2172603,17.85,17.95,17.75,17.9,0.05,94
2016-01-27,9911,214412,3856103,18.1,18.2,17.85,17.85,-0.05,109
2016-01-28,9911,179113,3229517,18.0,18.1,17.95,18.0,0.15,131
2016-01-29,9911,376907,6828068,18.0,18.25,17.95,18.15,0.15,159
2016-01-30,9911,253380,4613925,18.15,18.3,18.15,18.25,0.1,125
2016-02-01,9911,303306,5538708,17.95,18.4,17.95,18.35,0.1,154
2016-02-02,9911,193280,3516073,18.35,18.35,18.0,18.3,-0.05,83
2016-02-03,9911,269786,4909233,18.15,18.3,18.15,18.15,-0.15,164
2016-02-15,9911,401380,7378414,18.15,18.6,18.15,18.45,0.3,216
2016-02-16,9911,422291,7837037,18.4,18.65,18.4,18.6,0.15,256
2016-02-17,9911,269173,4986054,18.6,18.65,18.45,18.55,-0.05,146
2016-02-18,9911,596753,11081491,18.55,18.65,18.45,18.6,0.05,296
2016-02-19,9911,195678,3623254,18.6,18.6,18.45,18.45,-0.15,124
2016-02-22,9911,275310,5104794,18.45,18.6,18.45,18.55,0.1,120
2016-02-23,9911,340074,6324113,18.6,18.8,18.5,18.5,-0.05,155
2016-02-24,9911,147129,2718356,18.45,18.6,18.45,18.5,0.0,123
2016-02-25,9911,428201,7920219,18.45,18.6,18.4,18.45,-0.05,198
2016-02-26,9911,288459,5302149,18.5,18.5,18.35,18.35,-0.1,157
2016-03-01,9911,314419,5838061,18.35,18.65,18.35,18.6,0.25,160
2016-03-02,9911,474648,8829732,18.7,18.7,18.5,18.65,0.05,268
2016-03-03,9911,567384,10678407,18.7,18.9,18.6,18.9,0.25,300
2016-03-04,9911,1026165,19613638,19.0,19.25,19.0,19.15,0.25,462
2016-03-07,9911,461138,8862423,19.15,19.35,19.15,19.15,0.0,265
2016-03-08,9911,362615,6944669,19.2,19.3,19.05,19.15,0.0,219
2016-03-09,9911,347602,6667167,19.3,19.3,19.0,19.15,0.0,210
2016-03-10,9911,248765,4762735,19.15,19.2,19.05,19.15,0.0,184
2016-03-11,9911,308391,5905980,19.2,19.25,19.1,19.15,0.0,153
2016-03-14,9911,363985,6953572,19.2,19.2,19.05,19.05,-0.1,194
2016-03-15,9911,340945,6496589,19.05,19.2,18.95,18.95,-0.1,198
2016-03-16,9911,226768,4306976,18.95,19.1,18.9,19.1,0.15,127
2016-03-17,9911,424205,8039929,19.1,19.2,18.8,19.0,-0.1,180
2016-03-18,9911,321046,6125670,19.0,19.2,18.9,19.15,0.15,150
2016-03-21,9911,294530,5661768,19.15,19.3,19.15,19.25,0.1,168
2016-03-22,9911,935619,18332274,19.15,19.8,19.15,19.75,0.5,408
2016-03-23,9911,396579,7779902,19.8,19.9,19.45,19.6,-0.15,221
2016-03-24,9911,324658,6311537,19.6,19.6,19.35,19.45,-0.15,156
2016-03-25,9911,384944,7451626,19.3,19.55,19.3,19.3,-0.15,411
2016-03-28,9911,579694,11292651,19.3,19.7,19.25,19.55,0.25,429
2016-03-29,9911,416428,8127427,19.7,19.7,19.4,19.4,-0.15,272
2016-03-30,9911,314175,6140962,19.4,19.75,19.4,19.45,0.05,212
2016-03-31,9911,146048,2830947,19.5,19.5,19.35,19.45,0.0,171
2016-04-01,9911,182618,3533283,19.45,19.5,19.25,19.35,-0.1,153
2016-04-06,9911,198149,3814334,19.25,19.4,19.15,19.3,-0.05,230
2016-04-07,9911,439938,8584595,19.45,19.65,19.45,19.55,0.25,274
2016-04-08,9911,987569,19624506,19.5,20.1,19.45,20.0,0.45,338
2016-04-11,9911,1113926,22903537,20.2,20.8,20.2,20.5,0.5,576
2016-04-12,9911,647481,13054884,20.5,20.55,19.95,20.0,-0.5,421
2016-04-13,9911,266223,5332818,20.0,20.2,19.95,20.0,0.0,142
2016-04-14,9911,193927,3908523,20.0,20.3,20.0,20.25,0.25,107
2016-04-15,9911,213253,4303160,20.35,20.35,20.1,20.1,-0.15,129
2016-04-18,9911,172488,3473729,20.25,20.3,20.05,20.05,-0.05,96
2016-04-19,9911,224177,4542405,20.1,20.35,20.1,20.2,0.15,101
2016-04-20,9911,509501,10317242,20.4,20.45,20.15,20.15,-0.05,178
2016-04-21,9911,316494,6376204,20.2,20.3,20.05,20.1,-0.05,118
2016-04-22,9911,364050,7306043,20.1,20.2,20.0,20.1,0.0,133
2016-04-25,9911,388455,7803571,20.1,20.2,20.0,20.15,0.05,108
