date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2016-01-04,1452,1055120.0,24242290.0,23.6,23.6,22.75,22.85,-0.6,500.0
2016-01-05,1452,622791.0,14037014.0,22.6,22.85,22.2,22.55,-0.3,367.0
2016-01-06,1452,1334005.0,29289360.0,22.55,22.6,21.6,21.8,-0.75,795.0
2016-01-07,1452,2273886.0,47849109.0,21.25,21.75,20.55,20.9,-0.9,1029.0
2016-01-08,1452,1307414.0,27748946.0,20.6,21.6,20.6,21.45,0.55,643.0
2016-01-11,1452,681993.0,14235549.0,20.85,21.45,20.5,20.8,-0.65,323.0
2016-01-12,1452,1032723.0,21371501.0,20.8,21.1,20.45,20.45,-0.35,583.0
2016-01-13,1452,617405.0,12676810.0,20.65,20.85,20.3,20.3,-0.15,395.0
2016-01-14,1452,1274204.0,25764749.0,20.0,20.7,19.9,20.15,-0.15,502.0
2016-01-15,1452,815258.0,16536310.0,20.6,20.6,20.0,20.0,-0.15,411.0
2016-01-18,1452,945460.0,18876191.0,19.45,20.4,19.2,20.3,0.3,405.0
2016-01-19,1452,503008.0,10227160.0,20.4,20.55,20.15,20.25,-0.05,369.0
2016-01-20,1452,6314182.0,139551599.0,20.35,22.25,20.35,22.25,2.0,2224.0
2016-01-21,1452,4717462.0,102245992.0,22.35,22.45,20.8,20.9,-1.35,2144.0
2016-01-22,1452,1796262.0,37807879.0,21.2,21.4,20.8,20.95,0.05,817.0
2016-01-25,1452,2111286.0,45697576.0,21.35,22.05,21.2,21.4,0.45,1096.0
2016-01-26,1452,817239.0,17286512.0,21.1,21.45,21.0,21.1,-0.3,429.0
2016-01-27,1452,1174200.0,25066519.0,21.3,21.65,21.1,21.2,0.1,598.0
2016-01-28,1452,1199298.0,25654204.0,21.2,21.5,21.05,21.5,0.3,565.0
2016-01-29,1452,3887112.0,87115576.0,21.6,22.95,21.6,22.15,0.65,1897.0
2016-01-30,1452,1256639.0,27764858.0,22.35,22.4,21.9,22.1,-0.05,587.0
2016-02-01,1452,4326216.0,98632626.0,22.3,23.15,22.3,22.35,0.25,1983.0
2016-02-02,1452,884547.0,19629719.0,22.2,22.5,22.05,22.25,-0.1,507.0
2016-02-03,1452,959004.0,21099838.0,21.95,22.2,21.7,21.95,-0.3,427.0
2016-02-15,1452,844550.0,18395247.0,21.35,22.3,21.35,21.85,-0.1,504.0
2016-02-16,1452,1403009.0,31413198.0,21.95,22.7,21.95,22.2,0.35,746.0
2016-02-17,1452,5592445.0,129367085.0,22.45,23.6,22.2,23.1,0.9,2584.0
2016-02-18,1452,2122417.0,49058941.0,23.25,23.75,22.85,23.0,-0.1,1030.0
2016-02-19,1452,1606711.0,36453493.0,23.0,23.0,22.45,22.5,-0.5,872.0
2016-02-22,1452,1185813.0,26919660.0,22.55,22.9,22.55,22.6,0.1,582.0
2016-02-23,1452,1002000.0,22528900.0,22.75,22.8,22.35,22.5,-0.1,541.0
2016-02-24,1452,1214440.0,27343589.0,22.55,22.65,22.3,22.55,0.05,601.0
2016-02-25,1452,2684712.0,61876443.0,22.65,23.25,22.55,23.0,0.45,1178.0
2016-02-26,1452,15103494.0,377858795.0,23.55,25.3,23.55,25.3,2.3,5237.0
2016-03-01,1452,7423924.0,188753840.0,25.8,25.8,25.1,25.5,0.2,3225.0
2016-03-02,1452,5768615.0,144654225.0,25.6,25.75,24.75,25.0,-0.5,2472.0
2016-03-03,1452,4300415.0,108709775.0,25.05,25.65,25.0,25.05,0.05,1741.0
2016-03-04,1452,2029907.0,50773375.0,25.2,25.25,24.9,25.0,-0.05,1035.0
2016-03-07,1452,2219247.0,55670425.0,25.15,25.35,24.9,24.95,-0.05,1116.0
2016-03-08,1452,1992218.0,48927027.0,25.1,25.15,24.25,24.5,-0.45,1332.0
2016-03-09,1452,1766784.0,43635586.0,24.4,24.9,24.4,24.5,0.0,944.0
2016-03-10,1452,1665348.0,40417612.0,24.5,24.75,24.05,24.2,-0.3,1093.0
2016-03-11,1452,1554404.0,37713261.0,24.05,24.55,24.05,24.4,0.2,1043.0
2016-03-14,1452,1559236.0,38362466.0,24.8,24.85,24.4,24.6,0.2,818.0
2016-03-15,1452,1587955.0,38354425.0,24.8,24.8,23.8,23.85,-0.75,829.0
2016-03-16,1452,950450.0,23006271.0,24.1,24.4,23.9,24.35,0.5,565.0
2016-03-17,1452,1237151.0,30138226.0,24.55,24.65,24.1,24.1,-0.25,701.0
2016-03-18,1452,7019154.0,176956173.0,24.25,25.6,24.25,25.2,1.1,3198.0
2016-03-21,1452,2226469.0,55798214.0,25.45,25.45,24.8,25.1,-0.1,1133.0
2016-03-22,1452,1369184.0,34222884.0,25.1,25.2,24.85,25.0,-0.1,715.0
2016-03-23,1452,2298228.0,56757601.0,25.0,25.15,24.5,24.5,-0.5,1283.0
