date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2016-01-04,2409,49336792,471210556,9.83,9.87,9.41,9.46,-0.27,9797
2016-01-05,2409,60730210,568200872,9.46,9.53,9.2,9.2,-0.26,11036
2016-01-06,2409,50959911,464510298,9.25,9.28,9.04,9.09,-0.11,9420
2016-01-07,2409,61575385,559109965,9.1,9.18,9.0,9.08,-0.01,10566
2016-01-08,2409,41460815,375982368,9.05,9.13,9.02,9.12,0.04,7430
2016-01-11,2409,59312222,527013198,8.84,9.02,8.78,9.02,-0.1,11292
2016-01-12,2409,179941694,1719489715,9.08,9.82,9.04,9.53,0.51,27495
2016-01-13,2409,104811692,1022039552,9.79,9.9,9.6,9.6,0.07,18113
2016-01-14,2409,50738136,479705078,9.42,9.56,9.32,9.43,-0.17,9416
2016-01-15,2409,80180281,736597741,9.43,9.5,9.02,9.06,-0.37,13812
2016-01-18,2409,43238613,390315024,8.85,9.16,8.85,9.09,0.03,9084
2016-01-19,2409,24638577,223445545,9.09,9.15,9.01,9.05,-0.04,5171
2016-01-20,2409,57448529,508076220,9.01,9.08,8.7,8.75,-0.3,9967
2016-01-21,2409,37178020,331589172,8.83,9.07,8.81,8.81,0.06,7301
2016-01-22,2409,36469205,326982583,9.11,9.13,8.86,8.88,0.07,6844
2016-01-25,2409,44590817,397207317,9.0,9.0,8.86,8.87,-0.01,7502
2016-01-26,2409,44476535,393413197,8.85,8.94,8.8,8.82,-0.05,7764
2016-01-27,2409,29885884,263402689,8.88,8.93,8.73,8.73,-0.09,4937
2016-01-28,2409,33247601,292608533,8.77,8.89,8.75,8.76,0.03,5376
2016-01-29,2409,94643150,806179244,8.66,8.66,8.4,8.58,-0.18,14657
2016-01-30,2409,39883941,351140461,8.64,8.89,8.64,8.77,0.19,6568
2016-02-01,2409,63765907,566562566,8.7,9.01,8.7,8.85,0.08,9385
2016-02-02,2409,87010129,753686366,8.72,8.82,8.59,8.61,-0.24,13871
2016-02-03,2409,60654014,512290223,8.54,8.57,8.4,8.4,-0.21,10915
2016-02-15,2409,38687583,320468708,8.3,8.33,8.21,8.26,-0.14,8214
2016-02-16,2409,37601243,320329194,8.34,8.64,8.34,8.62,0.36,7719
2016-02-17,2409,48277078,414079876,8.69,8.69,8.48,8.48,-0.14,7890
2016-02-18,2409,79747271,689423309,8.61,8.77,8.58,8.65,0.17,11164
2016-02-19,2409,42768047,364902961,8.57,8.63,8.48,8.49,-0.16,8113
2016-02-22,2409,43805736,370828665,8.58,8.58,8.4,8.4,-0.09,8071
2016-02-23,2409,78066136,667500880,8.45,8.66,8.42,8.57,0.17,11839
2016-02-24,2409,168205733,1518898589,8.69,9.26,8.69,8.96,0.39,25555
2016-02-25,2409,123645394,1127378458,9.05,9.25,9.02,9.1,0.14,17686
2016-02-26,2409,54503603,490313727,9.14,9.15,8.88,9.01,-0.09,8869
2016-03-01,2409,40270614,364382805,9.1,9.15,9.01,9.04,0.03,8015
2016-03-02,2409,91553691,844881317,9.19,9.32,9.13,9.18,0.14,13256
2016-03-03,2409,92919551,860046830,9.25,9.44,9.15,9.19,0.01,12727
2016-03-04,2409,87600208,799353472,9.18,9.22,9.05,9.08,-0.11,12635
2016-03-07,2409,73234301,661858499,9.15,9.15,8.95,8.95,-0.13,11192
2016-03-08,2409,107437015,987481072,8.97,9.31,8.97,9.3,0.35,15933
2016-03-09,2409,86974413,810777116,9.38,9.38,9.25,9.3,0.0,13647
2016-03-10,2409,162594270,1557211501,9.35,9.8,9.27,9.7,0.4,22190
2016-03-11,2409,79209559,766964745,9.69,9.77,9.62,9.7,0.0,13500
2016-03-14,2409,104803275,1039259623,9.79,10.05,9.74,9.83,0.13,16312
2016-03-15,2409,147545212,1461971035,9.93,10.05,9.78,9.78,-0.05,17868
2016-03-16,2409,134595020,1349739910,9.95,10.15,9.94,10.05,0.27,15967
2016-03-17,2409,120323582,1209226806,10.15,10.35,9.86,9.86,-0.19,16403
2016-03-18,2409,56933700,564649193,9.9,10.05,9.85,9.93,0.07,8444
2016-03-21,2409,29104799,288324356,9.98,9.99,9.83,9.95,0.02,5951
2016-03-22,2409,80945168,785524424,9.97,9.97,9.51,9.75,-0.2,13310
2016-03-23,2409,36717507,357795970,9.64,9.87,9.64,9.72,-0.03,9310
2016-03-24,2409,50186387,482984337,9.72,9.79,9.54,9.54,-0.18,9670
2016-03-25,2409,23353346,223242884,9.6,9.63,9.5,9.55,0.01,4665
2016-03-28,2409,68037374,668879342,9.6,9.99,9.6,9.73,0.18,10254
2016-03-29,2409,63517097,617310954,9.73,9.93,9.6,9.6,-0.13,11155
2016-03-30,2409,66604796,652118384,9.78,9.85,9.73,9.75,0.15,11659
2016-03-31,2409,53238955,515625193,9.76,9.81,9.62,9.67,-0.08,9834
2016-04-01,2409,45841784,436037106,9.61,9.64,9.43,9.51,-0.16,8242
2016-04-06,2409,46942356,433786298,9.37,9.38,9.2,9.2,-0.31,11054
2016-04-07,2409,44222219,401426503,9.22,9.26,9.01,9.01,-0.19,8949
2016-04-08,2409,133528526,1283587612,9.28,9.8,9.24,9.71,0.7,23022
2016-04-11,2409,79619841,776004061,9.68,9.85,9.53,9.85,0.14,12428
2016-04-12,2409,58550012,575668283,9.93,9.99,9.69,9.69,-0.16,10309
2016-04-13,2409,44376906,438235062,9.81,9.93,9.81,9.86,0.17,7401
2016-04-14,2409,52773922,525251912,9.99,10.1,9.88,9.88,0.02,8503
2016-04-15,2409,24983022,246902145,9.87,9.93,9.79,9.9,0.02,4827
2016-04-18,2409,38714455,385409144,9.9,10.05,9.85,9.98,0.08,7051
2016-04-19,2409,55025699,548605901,10.05,10.1,9.82,9.82,-0.16,7483
2016-04-20,2409,37469437,367161673,9.9,9.9,9.73,9.81,-0.01,8307
2016-04-21,2409,33925086,337047183,9.95,10.05,9.83,9.89,0.08,7397
2016-04-22,2409,40819294,404346364,9.93,9.99,9.81,9.9,0.01,7767
2016-04-25,2409,34572948,337628837,9.86,9.86,9.72,9.74,-0.16,5910
2016-04-26,2409,45326299,435599664,9.65,9.74,9.51,9.52,-0.22,8898
2016-04-27,2409,38769105,373453262,9.56,9.78,9.52,9.57,0.05,7556
2016-04-28,2409,34680539,330733234,9.69,9.71,9.42,9.54,-0.03,6419
2016-04-29,2409,37441435,351430664,9.4,9.44,9.31,9.4,-0.14,6466
2016-05-03,2409,70924513,646632286,9.35,9.35,9.01,9.02,-0.38,12262
2016-05-04,2409,65759124,581453427,8.91,9.02,8.7,8.72,-0.3,11863
2016-05-05,2409,56604709,491063047,8.71,8.82,8.57,8.67,-0.05,11385
2016-05-06,2409,40652675,351797178,8.7,8.71,8.6,8.63,-0.04,8478
2016-05-09,2409,51369549,455703405,8.73,8.98,8.73,8.81,0.18,9623
2016-05-10,2409,30243311,264351035,8.77,8.79,8.71,8.72,-0.09,6575
2016-05-11,2409,42057084,363589864,8.78,8.87,8.58,8.58,-0.14,8864
2016-05-12,2409,38348580,331784308,8.58,8.77,8.55,8.75,0.17,6758
2016-05-13,2409,40463806,347248265,8.7,8.7,8.5,8.58,-0.17,8114
2016-05-16,2409,30611080,261102340,8.51,8.63,8.5,8.58,0.0,6507
2016-05-17,2409,34551039,295486842,8.58,8.62,8.51,8.55,-0.03,6272
2016-05-18,2409,43763931,369918488,8.5,8.52,8.41,8.45,-0.1,10569
2016-05-19,2409,39388215,332738443,8.44,8.53,8.41,8.41,-0.04,6621
2016-05-20,2409,45469715,388357556,8.43,8.63,8.41,8.55,0.14,7302
2016-05-23,2409,98817465,888030862,8.63,9.19,8.62,9.07,0.52,15913
2016-05-24,2409,41896490,374218692,8.92,9.02,8.89,8.89,-0.18,9002
2016-05-25,2409,35023375,315822849,9.1,9.11,8.95,8.96,0.07,9290
2016-05-26,2409,22125093,198074535,9.0,9.03,8.91,8.97,0.01,5595
2016-05-27,2409,30356940,273740010,9.04,9.07,8.97,9.02,0.05,5342
2016-05-30,2409,35390129,317215006,9.02,9.02,8.91,8.92,-0.1,7168
2016-05-31,2409,49995439,452054173,8.93,9.1,8.92,9.06,0.14,5779
2016-06-01,2409,69000717,643037080,9.11,9.4,9.11,9.32,0.26,13842
2016-06-02,2409,43925815,407150101,9.33,9.38,9.14,9.2,-0.12,7094
2016-06-03,2409,30868060,283108756,9.21,9.29,9.12,9.15,-0.05,4939
2016-06-04,2409,8896804,81920480,9.22,9.25,9.16,9.19,0.04,1811
2016-06-06,2409,68457715,644834779,9.25,9.62,9.25,9.29,0.1,10466
2016-06-07,2409,32302436,301977441,9.4,9.43,9.26,9.34,0.05,6394
2016-06-08,2409,34576661,322255697,9.34,9.38,9.25,9.31,-0.03,6723
2016-06-13,2409,38912293,356232063,9.26,9.32,9.05,9.05,-0.26,6936
2016-06-14,2409,25480465,234270270,9.04,9.26,9.04,9.25,0.2,6347
2016-06-15,2409,26018078,240584591,9.24,9.3,9.12,9.27,0.02,6041
2016-06-16,2409,47906620,438367777,9.3,9.3,9.08,9.13,-0.14,6835
2016-06-17,2409,56017472,519623033,9.28,9.39,9.18,9.19,0.06,11425
2016-06-20,2409,36721055,345358174,9.49,9.49,9.35,9.4,0.21,7489
2016-06-21,2409,45681428,429988780,9.46,9.49,9.32,9.32,-0.08,7994
2016-06-22,2409,29596114,277473567,9.35,9.43,9.32,9.43,0.11,6445
2016-06-23,2409,34347279,324507975,9.5,9.5,9.38,9.42,-0.01,5553
2016-06-24,2409,81817815,768606823,9.5,9.59,9.27,9.35,-0.07,14221
2016-06-27,2409,43100369,406913577,9.26,9.55,9.26,9.54,0.19,6582
2016-06-28,2409,59534025,572897793,9.5,9.73,9.47,9.7,0.16,9839
2016-06-29,2409,230454766,2341983862,10.0,10.35,9.97,10.25,0.55,27658
2016-06-30,2409,253845754,2733569844,10.55,11.0,10.5,10.95,0.7,34315
2016-07-01,2409,161129647,1781746401,11.35,11.4,10.85,11.0,0.05,21162
2016-07-04,2409,96694829,1073427407,11.0,11.3,10.9,11.2,0.2,14197
2016-07-05,2409,77552029,870353269,11.2,11.4,11.1,11.25,0.05,11194
2016-07-06,2409,95828720,1061859683,11.15,11.2,11.0,11.0,-0.25,11975
2016-07-07,2409,150781444,1657352342,10.9,11.2,10.8,10.9,0.0,16403
2016-07-11,2409,109147764,1216671437,11.2,11.3,11.0,11.1,0.2,14416
2016-07-12,2409,67826797,744732987,11.1,11.15,10.8,10.9,-0.2,11705
2016-07-13,2409,112677766,1248981107,11.0,11.3,10.85,11.3,0.4,16326
2016-07-14,2409,63050601,708539021,11.25,11.4,11.1,11.15,-0.15,10307
2016-07-15,2409,56752747,638570278,11.2,11.35,11.15,11.25,0.1,10235
2016-07-18,2409,119031201,1393815979,11.4,11.85,11.4,11.75,0.5,17582
2016-07-19,2409,212565423,2553223387,12.0,12.25,11.75,12.25,0.5,25272
2016-07-20,2409,100409457,1227315946,12.3,12.35,12.1,12.25,0.0,18305
2016-07-21,2409,232732041,3005361704,12.5,13.2,12.5,12.75,0.5,34748
2016-07-22,2409,122082105,1537004353,12.85,12.85,12.35,12.6,-0.15,19079
2016-07-25,2409,123395255,1519252670,12.7,12.8,12.05,12.3,-0.3,16947
2016-07-26,2409,114027218,1414055844,12.3,12.55,12.2,12.45,0.15,17385
2016-07-27,2409,178522042,2277867818,12.55,13.0,12.45,12.65,0.2,21015
2016-07-28,2409,203055684,2651280097,13.3,13.35,12.85,12.9,0.25,23594
2016-07-29,2409,102096672,1316667223,13.0,13.05,12.75,12.95,0.05,13895
2016-08-01,2409,61452307,795331935,13.05,13.1,12.8,12.9,-0.05,10912
2016-08-02,2409,59641353,774130839,12.95,13.05,12.9,13.05,0.15,8264
2016-08-03,2409,90530430,1178948940,13.0,13.15,12.85,13.05,0.0,9619
2016-08-04,2409,45809465,596274108,13.1,13.15,12.9,13.0,-0.05,6444
2016-08-05,2409,138907895,1843389619,13.1,13.45,13.0,13.35,0.35,15784
2016-08-08,2409,99890486,1361215659,13.65,13.75,13.55,13.6,0.25,11941
2016-08-09,2409,67895389,911433542,13.6,13.6,13.25,13.35,-0.25,9931
2016-08-10,2409,87327203,1134099339,13.3,13.3,12.8,13.0,-0.35,13762
2016-08-11,2409,117753113,1492853174,12.95,12.95,12.5,12.7,-0.3,16100
2016-08-12,2409,52485658,665777854,12.8,12.85,12.55,12.7,0.0,11210
2016-08-15,2409,113899853,1398674723,12.7,12.7,12.15,12.15,-0.55,15832
2016-08-16,2409,105173553,1295965215,12.1,12.45,12.1,12.45,0.3,14064
2016-08-17,2409,69216032,857520269,12.5,12.65,12.15,12.3,-0.15,11466
2016-08-18,2409,48530189,592912938,12.3,12.3,12.1,12.25,-0.05,8334
2016-08-19,2409,129976076,1653224402,12.5,12.95,12.5,12.7,0.45,16174
2016-08-22,2409,78511698,999913118,12.85,12.9,12.55,12.7,0.0,10773
2016-08-23,2409,63026719,797703372,12.65,12.8,12.5,12.6,-0.1,8255
